?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbi_00000492>		
<http://purl.obolibrary.org/obo/FBbi_00000165>		
<http://purl.obolibrary.org/obo/FBbi_00000032>		
<http://purl.obolibrary.org/obo/FBbi_00000020>		
<http://purl.obolibrary.org/obo/FBbi_00000250>		
<http://purl.obolibrary.org/obo/FBbi_00000395>		
<http://purl.obolibrary.org/obo/FBbi_00000141>		
<http://purl.obolibrary.org/obo/FBbi_00000298>		
<http://purl.obolibrary.org/obo/FBbi_00000177>		
<http://purl.obolibrary.org/obo/FBbi_00000068>		
<http://purl.obolibrary.org/obo/FBbi_00000189>		
<http://purl.obolibrary.org/obo/FBbi_00000056>		
<http://purl.obolibrary.org/obo/FBbi_00000480>		
<http://purl.obolibrary.org/obo/FBbi_00000259>	"The scanning probe is maintained at a fixed distance above the surface e of the specimen by van der Waals forces"	
<http://purl.obolibrary.org/obo/FBbi_00000321>	"Methods for increasing the resolution beyond the classical Abbe diffraction limit"	
<http://purl.obolibrary.org/obo/FBbi_00001012>		
<http://purl.obolibrary.org/obo/FBbi_00100003>	"A visualization method that detects the fluorescence emitted by chlorophyll."	
<http://purl.obolibrary.org/obo/FBbi_00000164>		
<http://purl.obolibrary.org/obo/FBbi_00000394>		
<http://purl.obolibrary.org/obo/FBbi_00000055>		
<http://purl.obolibrary.org/obo/FBbi_00000285>		
<http://purl.obolibrary.org/obo/FBbi_00000382>		
<http://purl.obolibrary.org/obo/FBbi_00000297>		
<http://purl.obolibrary.org/obo/FBbi_00000176>		
<http://purl.obolibrary.org/obo/FBbi_00000043>		
<http://purl.obolibrary.org/obo/FBbi_00000031>		
<http://purl.obolibrary.org/obo/FBbi_00000261>		
<http://purl.obolibrary.org/obo/FBbi_00000140>		
<http://purl.obolibrary.org/obo/FBbi_00000620>	"A nearfield illumination method that uses evanescent wave scattering."	
<http://purl.obolibrary.org/obo/FBbi_00000273>		
<http://purl.obolibrary.org/obo/FBbi_00000152>		
<http://purl.obolibrary.org/obo/FBbi_00100005>	"A visualization method that detects proteins labeled with the mScarlet monomeric red fluorescent protein tag."	
<http://purl.obolibrary.org/obo/FBbi_00000079>		
<http://purl.obolibrary.org/obo/FBbi_00000188>		
<http://purl.obolibrary.org/obo/FBbi_00000067>		
<http://purl.obolibrary.org/obo/FBbi_00000491>		
<http://purl.obolibrary.org/obo/IAO_0000078>	"The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value."@en	
<http://purl.obolibrary.org/obo/FBbi_00000609>		
<http://purl.obolibrary.org/obo/FBbi_00000089>	"Fully hydrated tissue rapidly frozen to produce vitrified water, and maintained continuously below the glass transition temperature of water (approximately -137 deg C"	
